Meal Name,Ingrediants,Cookbook,Chef,Dish Picture
Penne Alla Vodka Two Ways,"1/2 cup sun dried tomatoes packed in olive oil, drained and chopped","Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,Kosher salt and ground pepper,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,3/4 cup heavy cream,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1 lb box penne pasta ,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1 cup grated Parmesean cheese ,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,fresh basil,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Walnut Crusted Chicken,1 lb boneless skinless chicken tenders,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1/2 cup buttermilk,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1+1/2 cups finely chopped walnuts,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,2 tbsp whole wheat flower,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1 tbsp chopped fresh thyme leaves,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
